delta_x,delta_y
-0.36824887410290735,-0.5164988370796715
-0.4320205717260612,-0.525934912056381
-0.5537899343939684,-0.5963836218704858
-0.5832359212109763,-0.6537499425828392
-0.4946531064602451,-0.74966937626959
-0.5970688285947312,-0.7958417483086246
-0.4951168288141306,-0.8320568706630611
-0.6038139556895155,-0.7677488473368648
-0.6798929555206917,-0.7344622361687934
-0.6598096809104324,-0.8794400919869537
-0.6166557621152134,-0.8589873215663308
-0.6743040750489393,-0.7099530681046391
-0.5109231091871241,-0.6869620729582484
-0.6783332927691853,-0.7902315911500588
-0.7354380365711579,-0.590257202670716
-0.6941202292731408,-0.6152038812936503
-0.7222562571098331,-0.8602705280710613
-0.6384586914349251,-0.885352629389442
-0.6355495907618879,-0.8200446188422553
-0.6802244099658528,-0.8572152846931246
-0.6977793498961571,-0.8115846306510037
-0.8571386366980099,-0.9071761230707928
-0.7755199407716314,-0.6959123736632804
-0.7360244594138956,-0.7650421664902924
-0.8144742107374295,-0.8410110583212762
-0.8235121349819903,-0.9286621167484396
-0.7782992508665224,-0.7848611627595
-0.9500068441581744,-0.8518335877806434
-0.7223515913236984,-0.9579469648146556
-0.9199898385167922,-0.8184252541212987
-0.9947551668742236,-0.6918495873228754
-1.3285519490685085,-0.7532246385876421
-1.327479131637473,-0.2524753490213705
-1.070354775526459,-1.0048865356412289
-0.9503204343173468,-0.8644502356572592
-0.8540975786127665,-0.9667505896401072
-0.9879031991992924,-0.9076756189795029
-0.8558041133881109,-0.8729954591380902
-1.126614521482463,-0.9984048056202308
-0.883637358134152,-0.8479892293914363
-0.913045413845294,-0.7510359107352754
-1.0222489678316338,-0.8069225624361177
-1.1552054263847849,-0.8536637494881095
-0.9375387277613936,-1.0312502104547965
0.0,0.0
-0.11089688132392904,0.08090792754366563
0.12807222708474572,0.2086174224741188
-0.19559156823101648,-0.12764896727204436
-0.294712513162241,-0.003906076535500111
-0.1161852292331622,-0.17308514384705356
-0.4283183916254947,0.1694892694576035
-0.4075331547483397,0.3134779073670767
-0.3950818825411043,0.18186503491085054
-0.07846329768502511,0.4417696532827436
-0.24413644393355965,0.3846991446584461
-0.10064884320335472,0.2258410809628084
0.1011620413059432,-0.166217535515761
-0.2490353056970393,-0.2043945559544939
-0.1870552607544302,-0.31314101622823753
-0.1387486739988332,-0.07860950531003151
-0.0980083297401809,-0.07208789765784683
0.1852343998611532,-0.21168254196491268
-0.01564571654367151,-0.3228290615415613
-0.08323213896988524,0.01856545002874696
0.2089246409284348,-0.2734894089292821
-0.1574759034443587,-0.09839909370782507
-0.08282395791397247,0.10289761435812024
-0.01125882833466688,-0.016597509421511166
0.14266691345707172,-0.19162030834495786
0.024072257607087925,-0.2950168661782512
0.21844310250241128,-0.09725956518534352
0.23430095105405346,-0.22422276124979085
0.04256132560874022,-0.011178391369950077
-0.18380570024270798,-0.11431183136413207
-0.29864398454095925,-0.2087065265566406
-0.3611561233166408,-0.2419550352168817
-0.3482244301982561,-0.2662341869007395
-0.2503701920393961,-0.006358285780275089
-0.12122575823947082,-0.3442019641933412
-0.2219551479663032,-0.2283745482102276
-0.1377977101318037,-0.3294462310257659
-0.018393392488668562,-0.4230679027183444
-0.15164096951659709,-0.04013075315173943
-0.2881779670838012,-0.2928934036765687
-0.2973952765560913,0.012985466805981012
-0.054561279338129404,-0.2943669372102567
-0.3431403553320775,-0.10438099293435256
-0.09458793970768313,-0.1451846910721562
-0.1898677732758228,-0.17722918578474958
-0.2744712238087643,-0.4902422322111295
-0.06605480213173476,-0.6212033254860246
0.016658210270318406,-0.6046263444509393
-0.32772720265859473,-0.372526353287576
-0.2308826995753816,-0.31799899520718833
0.133749745511754,-0.27076130151867983
-0.10992594589027596,-0.4791203833601456
0.045153149069115085,-0.6886409336785041
-0.10497893561021716,-0.7931031751641988
